target,tweet,stance
We should abandon marriage,"""marriage"" isn't keeping up with the times.  abandon the old thinking and bring something that incorporates all unions - not just those with a man and woman.",1
We should adopt a multi-party system,.a multi-party system would be too confusing and getting a consensus from the general public would be difficult.,-1
Assisted suicide should be a criminal offence,`people reach their limit when it comes to their quality of life and should be able to end their suffering.  this can be done with little or no suffering  by assistance and the person is able to say good bye.,-1
We should abolish safe spaces,"100% agree, should they do that, it would be a good thing",1
We should ban naturopathy,A ban on naturopathy creates a cohesive front between scientists and the government that can combat the anti-science rhetoric of naturopathic industries.,1
Surrogacy should be banned,"A ban would be disasterous for the surrogate mothers. Surrogacy will happenn anyway, because the need for it exists, but there will be no health and legal standards for the proccess.",-1
Surrogacy should be banned,"A ban would be inffective, people who want a baby so badly, will find a way to go through with it. Either illegaly or in some foresaken country which doesn't ban it.",-1
We should ban cosmetic surgery,a ban would only increase the already concerning trend to go to dangerous surgeons abroad,-1
We should abolish capital punishment,"A basic principle of punishment is that it should be proportional to the crime, and therefore capital punishment is the only legitimate response to a crime such as first degree murder.",-1
We should ban cosmetic surgery for minors,"a birth defect or a disfiguring injury can highly impact someone's self esteem, with parental permission minors should have the opportunity to correct this.",-1
We should ban cosmetic surgery for minors,"a child cannot just walk into a cosmetic surgeons and get unnecessary surgery, parental consent and medical regulations are in place to ensure this is only conducted safely and on worthy cases of deformity",-1
We should legalize sex selection,a child is a gift and should be cherished for whatever sex they are,-1
We should ban cosmetic surgery for minors,"a child is still growing, physically and mentally, cosmetic surgery should not be considered until they are an adult and able to make these decisions",1
We should ban cosmetic surgery for minors,a child's body is still developing and the faults that a child sees in themselves may resolve when they're an adult,1
We should legalize sex selection,a child's value should not be based upon their sex.  they are human no matter what.,-1
We should fight urbanization,a city is the best place for people to have what they need near by,-1
We should oppose collectivism,"A collectivist culture cultivates desirable values such as being kind, generous, and attentive to the needs of others.",-1
We should subsidize student loans,a college degree is no longer a guarantee that you will have a job nor is it even required for decent careers anymore. it is a waste of money as most degrees are becoming obsolete.,-1
We should subsidize student loans,"a college education is too expensive for most people to afford.  yet, it is almost a requirement to get a great job.  by helping to pay student loans we are also helping our economy and providing better jobs.",1
We should limit executive compensation,a company can pay an executive anything it wants.  if the person is a great value to his company his salary no matter how high is worth it.,-1
We should limit executive compensation,a company can pay higher to their employees if executive compensation is limited,1
We should limit executive compensation,a company has the right to determine how much executive compensation that they can pay out.,-1
We should limit executive compensation,a company should be able to decide on their own how much they want to pay any of their employees,-1
We should limit executive compensation,a company should be able to pay whatever they need to to attract the right talent. they will only pay what the market determines the person is worth.,-1
We should introduce compulsory voting,a compulsory vote we make everyone contribute their opinion.,1
We should ban naturopathy,a consumer doesn't know what's really in natural remedies since there is no regulation,1
We should ban cosmetic surgery for minors,a cosmetic procedure may be necessary for a horribly scarred child.,-1
We should fight for the abolition of nuclear weapons,A country is entitled to develop any weapon that will help it defend itself against an enemy.,-1
We should fight for the abolition of nuclear weapons,a country should have the right to defend itself in whatever way it sees fit even if they do not intend to use nuclear weapons.,-1
We should adopt a multi-party system,A country with a diverse population is better represented by a multi-party system.,1
We should abandon marriage,"A couple doesn't have to bind themselves legally to one another, by marrying, to prove their love.",1
Assisted suicide should be a criminal offence,a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,1
We should legalize organ trade,"a democratic and free society is said to respect bodily autonomy, therefore we should have the right to do what we want with our organs, including using them in a legal organ trade",1
We should ban naturopathy,a disadvantage of naturopathy is when natural medicines are taken to treat medical conditions without seeking qualified medical help,1
We should subsidize stay-at-home dads,a father figure that takes an active role in their child's life has a positive effect on the child,1
We should subsidize stay-at-home dads,"a father is entitled to sacrifice his work for time with his new-born, but this is a lifestyle choice and should be self-funded, not financially supported by the tax payer.",-1
We should limit judicial activism,a few loud mouths should not be able to change years of law,1
We should prohibit flag burning,"A flag is just a symbol and carries no real meaning in and of itself. Therefore, burning it is not a big deal.",-1
We should prohibit flag burning,a flag is mass produced and has no added commercial value other than the material it is made with,-1
We should prohibit flag burning,"a flag is no more than a symbol, if flag burning were banned you would have to ban the burning of football shirts, etc",-1
We should prohibit flag burning,a flag is only a piece of cloth and there is no prohibition against burning cloth,-1
We should prohibit flag burning,a flag is only a symbol and permitting burning it as an expression of anger is free speech,-1
We should prohibit flag burning,a flag is only really a peace of cloth and doesn't actually hurt anybody.,-1
We should prohibit flag burning,a flag symbolizes a country and by burning it you are showing disrespect,1
We should adopt gender-neutral language,a gender neutral language should be adopted so that conversations and language would be fair for everyone.,1
We should adopt gender-neutral language,a gender neutral language would improve gender equality,1
We should adopt gender-neutral language,"a gender-neutral language is what we should all learn to speak, it will help  dealing with racism and other social issues",1
We should adopt gender-neutral language,a gender-neutral language would take hundreds of years to adopt to and therefore should be abandoned,-1
We should ban telemarketing,A good portion of the telemarketers these days are not even human and this is illegal and Immoral,1
We should subsidize Wikipedia,A government-funded Wikipedia would become a government-controlled Wikipedia.,-1
We should oppose collectivism,a group can function more effectively and with greater impact when working together as opposed to individually,-1
We should oppose collectivism,a group of collective thoughts in line with one stance makes it greater.,-1
We should introduce compulsory voting,a high turnout is important for a proper democratic mandate and the functioning of democracy,1
We should legalize organ trade,a human being at death can help others to live and through organ trade help their families live,1
We should end racial profiling,a human rights activist spoke out that people should not be racially profiled because they belonged to a certain group or have different colors.,1
We should limit judicial activism,a judge allowing their own personal feelings to become involved in a ruling cause said ruling to be unfair.,1
We should limit judicial activism,a judge is a credible voted in individual whose decisions should be trusted.,-1
We should limit judicial activism,"a judge is merely supposed to interpret whether legal issues are constitutional -- judicial activism is effectively legislating from the bench, which exceeds what the judicial branch is allowed to do.",1
We should limit judicial activism,a judge is not god and therefore should not make all of the decisions.,1
We should limit judicial activism,a judge is suppose to be held in a high regard and should abide by the laws they took an oath to uphold without bias.,1
We should limit judicial activism,"a judge is suppose to uphold the rule of law, not alter it with their own opinions/views/beliefs.",1
We should limit judicial activism,a judge should be allowed to determine the constitutionality of an argument by using their own beliefs in part.,-1
We should limit judicial activism,a judge shouldnt be able to show their personal views.,1
We should limit judicial activism,a judges opinion should not be relevant in a decision that they make as a judge,1
We should limit judicial activism,a judge's opinion should not take precedent over official laws.,1
We should limit judicial activism,a judge's role is not to flaunt laws and override guidance but to enforce it. judicial activism is a step too far,1
We should limit judicial activism,a jusge should be allowed to look at a crime and the situation the person was subjected to in regards to their acts as the punishment should be determined in regards to an individual situation.,-1
We should limit judicial activism,a jusge should be allowed to make decisions based on certain situations and circumstances and make judgement using the information and issues presented rather than a strict generalized standard.,-1
We should limit judicial activism,a jusge should follow the law rather than opnion as they are regarded as the highest power to judicate the laws they honor to serve and uphold.,1
We should adopt a multi-party system,a key advantage of a multi-party system is that voters have a choice of which political party they can choose to elect.,1
We should ban cosmetic surgery,a lack of confidence due to appearance can have a crippling impact on poeple's lives and cosmetic surgery can help reduce this.,-1
We should stop the development of autonomous cars,a lack of control means there is nobody to step in if it goes wrong,1
We should introduce compulsory voting,a lack of voting leads to a situation were their isn't fair representation in parliament.,1
We should adopt gender-neutral language,a language that does not include gender takes away from the personality of people.,-1
We should oppose collectivism,a larger group of people can often offer more value with power in numbers. there is more value to a large group with more ideas and more manpower.,-1
We should legalize organ trade,a legal organ trade would boost the availability of transplant organs and save lives,1
We should legalize organ trade,"a legalised organ trade would dramatically improve the stock of transplant organs, saving lives.",1
We should legalize organ trade,"a legalised organ trade would increase the amount of stock available for medical procedures, and allow the procedure to become safer and more regulated.",1
We should legalize organ trade,"a legalised trade would disproportionately harm those from poorer economic backgrounds, legitimising the huge medical risks involved.",-1
We should legalize organ trade,"A legalized market would exploit the poor who, as a result of financial problems, would be the ones most likely to sell their organs.",-1
We should legalize polygamy,a lifestyle that does not hurt others should be legal,1
We should abandon television,a lot more work and research could get done if we abandoned television.,1
We should adopt gender-neutral language,"a lot of gender neutral language assumes the male version of the word as the newly accepted neutral word. this doesn’t make it neutral, just assumes the male is best.",-1
We should ban naturopathy,"a lot of naturopaths suggest things without scientific backing, which may harm the patient.",1
We should end racial profiling,a lot of the criminals fit a specific ethnicity so for security purposes and saving lives police should be allowed to racially profile in exchange for a little bit of suffering,-1
We should ban cosmetic surgery,a lot of times the physical and emotional after effects of cosmetic surgery defeat the main purpose of getting the surgery.,1
Homeschooling should be banned,"a lot of times, people who homeschool aren't qualified to teach all the subjects needed for a high school  diploma.",1
We should ban naturopathy,a lot of what they do is dangerous including opposing vaccines.,1
We should legalize prostitution,a lot of woman who prostitute themselves were sexually assaulted themselves so it may be better to have better options.,1
We should introduce compulsory voting,a low turn out means that the elected government does not represent the true wishes of the country. making voting compulsory would mean that an elected government had a true mandate.,1
We should subsidize student loans,a majority of students are unable to pay for the high cost of attending college,1
We should legalize prostitution,"a man or woman has the right to do what they wish with their body, and if they choose to sell it for sex, the government should not interfere.",1
We should end mandatory retirement,a mandatory retirement age allows employers to be able to bring fresh talent into their workforce,-1
We should end mandatory retirement,"A mandatory retirement age ensures that at least some positions open up in a given profession on a predictable basis, allowing younger workers to enter as older workers exit",-1
We should end mandatory retirement,a mandatory retirement age helps employers regularly refresh the workforce with fresh talent,-1
We should subsidize stay-at-home dads,a man's place is in the workforce to provide for his family.  why should anyone else have to pay for that guy's family just because he doesn't want to go to work?,-1
We should abandon marriage,"a marriage is a piece of paper, nothing more.",1
We should fight for the abolition of nuclear weapons,A miniature arms race between missile defense developers and missile developers creates an arms race that costs a massive amount to any state with either industry.,1
We should ban cosmetic surgery for minors,a minor does not have the mental and emotional development needed to make decisions that have long term effects,1
